"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f","wage_z","unemp_rate_z","lfpr_z","college_pct_z","aging_idx_z","log_density_z","industry_pct_z"
"新北市","北部",2024,4.6417,3.4,59.1,61.9,172.66,31.68,1971.68,7.5866,1.535080678448,"高薪",1,"北部","2024",0.333915699703632,-0.0107600935024977,-0.0715477640484061,1.03357007301375,0.429453921786624,0.793881977490661,-0.106291638930917
"新竹市","北部",2019,6.0083,3.7,58.8,61.82,73.35,43.97,4309.09,8.3685,1.79314184663731,"高薪",1,"北部","2019",2.0190775679791,0.344322992079922,-0.153672154086579,1.02657906599934,-1.9946651228004,1.39276759111649,1.16760611524202
"新竹市","北部",2020,6.1167,3.8,58.6,63.83,77.41,41.88,4334.14,8.3743,1.8110227354089,"高薪",1,"北部","2020",2.15274619561049,0.462684020607394,-0.208421747445358,1.2022281172362,-1.89556207858508,1.39721002180971,0.950970939796823
"新竹市","北部",2021,6.4167,3.8,58.8,67.13,81.77,42.63,4345.93,8.377,1.85890396685739,"高薪",1,"北部","2021",2.52267782189663,0.462684020607394,-0.153672154086579,1.4906071565803,-1.78913614932922,1.39927804989104,1.02871083529151
"新竹市","北部",2022,6.8417,3.6,59.1,67.76,87.03,45.69,4344.33,8.3766,1.9230362387657,"高薪",1,"北部","2022",3.046747625802,0.225961963552448,-0.0715477640484061,1.54566133681871,-1.66074156495174,1.39897167536047,1.34588960890983
"新竹市","北部",2023,7.0417,3.4,59.2,68.46,93.05,43.9,4382.75,8.3854,1.95184961829173,"高薪",1,"北部","2023",3.29336870999276,-0.0107600935024977,-0.0441729673690152,1.60683264819473,-1.51379567180488,1.40571191503295,1.16035039166251
"新竹市","北部",2024,7.5167,3.3,59.3,69.49,99.45,43.23,4390.12,8.3871,2.01712721186055,"高薪",1,"北部","2024",3.87909378494582,-0.129121122029971,-0.0167981706896263,1.69684186350516,-1.35757412427335,1.40701400678786,1.09090275168726
"新竹縣","北部",2019,5.35,3.8,61,52.76,77.69,49.41,395.04,5.979,1.67709656090792,"高薪",1,"北部","2019",1.20732426936521,0.462684020607394,0.448573372860013,0.234847521618283,-1.88872738588057,-0.437437260858087,1.73147949056348
"新竹縣","北部",2020,5.4083,3.8,61.7,53.31,80.43,47.41,399.83,5.991,1.68793481057485,"高薪",1,"北部","2020",1.27921431540682,0.462684020607394,0.640196949615747,0.282910694842299,-1.82184503584363,-0.428246024941078,1.52417310257765
"新竹縣","北部",2021,5.7,3.8,59.7,53.4,83.55,50.3,403.2,5.9994,1.7404661748405,"高薪",1,"北部","2021",1.63891116669904,0.462684020607394,0.0927010160279372,0.290775577733502,-1.74568703142201,-0.421812159799171,1.82373083321717
"新竹縣","北部",2022,5.7667,3.7,60.4,55.51,86.71,53.52,406.65,6.008,1.75209999316574,"高薪",1,"北部","2022",1.72115929827666,0.344322992079922,0.284324592783669,0.475163387738362,-1.66855264232831,-0.41522510739198,2.15749411787436
"新竹縣","北部",2023,5.9667,3.5,59.1,57.96,90.55,52.27,412.8,6.023,1.78619401075517,"高薪",1,"北部","2023",1.96778038246742,0.107600935024975,-0.0715477640484061,0.689262977554433,-1.57481971380939,-0.403736062495718,2.02792762538322
"新竹縣","北部",2024,6.1333,3.3,60.1,59.7,95.69,53.91,416.55,6.032,1.81373294114945,"高薪",1,"北部","2024",2.17321574559832,-0.129121122029971,0.202200202745499,0.841317380117683,-1.44935428344813,-0.396842635557961,2.1979188635316
"桃園市","北部",2019,4.625,3.8,57.2,48.96,81.4,44.23,1842.03,7.5186,1.53147637096439,"高薪",1,"北部","2019",0.313322839173704,0.462684020607394,-0.591668900956825,-0.0972253115658256,-1.79816770754589,0.741798307294272,1.19455594568017
"桃園市","北部",2020,4.6083,4,59,50.76,88.03,43.22,1858.22,7.5274,1.52785902544107,"高薪",1,"北部","2020",0.292729978643775,0.69940607766234,-0.0989225607277969,0.0600723462582258,-1.63633194814993,0.748538546966746,1.08986621974733
"桃園市","北部",2021,4.7583,4,61,51.59,94.79,42.8,1861.16,7.529,1.55989046159549,"高薪",1,"北部","2021",0.477695791786846,0.69940607766234,0.448573372860013,0.13260404403265,-1.47132293856975,0.749764045089014,1.04633187827031
"桃園市","北部",2022,4.8333,3.7,61.6,54.05,101.89,43.12,1868.59,7.5329,1.57552946418291,"高薪",1,"北部","2022",0.570178698358381,0.344322992079922,0.612822152936356,0.34757750972552,-1.29801465927695,0.752751196762042,1.07950090034804
"桃園市","北部",2023,4.9333,3.5,61.5,56.26,109.48,43.36,1898.06,7.5486,1.59600813532238,"高薪",1,"北部","2023",0.693489240453761,0.107600935024975,0.585447356256965,0.540704078498384,-1.11274566775127,0.764776397086797,1.10437766690634
"桃園市","北部",2024,5.1333,3.4,61.8,56.42,118.11,42.18,1915.43,7.5577,1.6357487272239,"高薪",1,"北部","2024",0.940110324644522,-0.0107600935024977,0.667571746295136,0.554686092527189,-0.90209067475171,0.771746417657195,0.982066897994698
"澎湖縣","離島",2019,3.525,3.7,52.1,45.96,159.4,21.35,829.29,6.7206,1.25988043626423,"低薪",0,"離島","2019",-1.04309312387548,0.344322992079922,-1.98778353160574,-0.359388074605912,0.105782402994721,0.130581118813119,-1.17702913287774
"澎湖縣","離島",2020,3.5667,3.9,51.7,45.63,165.71,21.46,835.16,6.7276,1.27164079855047,"低薪",0,"離島","2020",-0.991672627821706,0.581045049134867,-2.0972827183233,-0.388225978540321,0.259807085014096,0.135942673098041,-1.16562728153852
